did,tid,num_instances,num_features,num_classes,num_missing_values,tabzilla_name,source,test_small,test_large,test
41138,168868.0,76000.0,171.0,2.0,1078695.0,openml__APSFailure__168868,"['tabzilla', 'amlb']",False,False,False
4135,34539.0,32769.0,10.0,2.0,0.0,openml__Amazon_employee_access__34539,"['tabzilla', 'amlb']",False,False,False
40981,146818.0,690.0,15.0,2.0,0.0,openml__Australian__146818,"['tabzilla', 'amlb']",False,False,False
4134,9910.0,3751.0,1777.0,2.0,0.0,openml__Bioresponse__9910,"['tabzilla', 'cc18', 'amlb', 'amlb']",False,False,True
40927,167124.0,60000.0,3073.0,10.0,0.0,openml__CIFAR_10__167124,"['tabzilla', 'cc18']",False,False,True
4535,168340.0,299285.0,42.0,,0.0,openml__Census-Income__168340,['tabzilla'],False,False,False
41434,190408.0,39948.0,12.0,2.0,0.0,openml__Click_prediction_small__190408,['tabzilla'],False,False,False
40923,167121.0,92000.0,1025.0,46.0,0.0,openml__Devnagari-Script__167121,"['tabzilla', 'cc18']",False,False,True
40996,146825.0,70000.0,785.0,10.0,0.0,openml__Fashion-MNIST__146825,"['tabzilla', 'cc18', 'amlb']",False,False,True
4538,14969.0,9873.0,33.0,5.0,0.0,openml__GesturePhaseSegmentationProcessed__14969,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
40978,167125.0,3279.0,1559.0,2.0,0.0,openml__Internet-Advertisements__167125,"['tabzilla', 'cc18', 'amlb', 'amlb']",False,False,True
375,3510.0,9961.0,15.0,9.0,0.0,openml__JapaneseVowels__3510,['tabzilla'],False,False,False
40496,125921.0,500.0,8.0,10.0,0.0,openml__LED-display-domain-7digit__125921,['tabzilla'],False,False,False
1120,3954.0,19020.0,12.0,2.0,0.0,openml__MagicTelescope__3954,['tabzilla'],False,False,False
40966,146800.0,1080.0,82.0,8.0,1396.0,openml__MiceProtein__146800,"['tabzilla', 'cc18']",True,True,True
41150,168335.0,130064.0,51.0,2.0,0.0,openml__MiniBooNE__168335,"['tabzilla', 'amlb']",False,False,False
4534,14952.0,11055.0,31.0,2.0,0.0,openml__PhishingWebsites__14952,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
40900,167211.0,5100.0,37.0,2.0,0.0,openml__Satellite__167211,"['tabzilla', 'amlb', 'amlb']",False,False,False
40536,146607.0,8378.0,121.0,2.0,18372.0,openml__SpeedDating__146607,['tabzilla'],False,False,False
1455,10089.0,120.0,7.0,2.0,0.0,openml__acute-inflammations__10089,['tabzilla'],False,False,False
1043,3896.0,4562.0,49.0,2.0,0.0,openml__ada_agnostic__3896,['tabzilla'],False,False,False
1119,3953.0,32561.0,16.0,2.0,4262.0,openml__adult-census__3953,['tabzilla'],False,False,False
1590,7592.0,48842.0,15.0,2.0,6465.0,openml__adult__7592,"['tabzilla', 'cc18', 'amlb']",True,True,True
1169,189354.0,539383.0,8.0,2.0,0.0,openml__airlines__189354,"['tabzilla', 'amlb']",False,False,False
41147,189356.0,425240.0,79.0,2.0,2734000.0,openml__albert__189356,"['tabzilla', 'amlb']",False,False,False
458,3549.0,841.0,71.0,4.0,0.0,openml__analcatdata_authorship__3549,"['tabzilla', 'cc18']",True,True,True
448,3540.0,120.0,4.0,2.0,0.0,openml__analcatdata_boxing1__3540,['tabzilla'],False,False,False
875,3739.0,100.0,4.0,2.0,0.0,openml__analcatdata_chlamydia__3739,['tabzilla'],False,False,False
469,3560.0,797.0,5.0,6.0,0.0,openml__analcatdata_dmft__3560,"['tabzilla', 'cc18']",True,True,True
1,2867.0,898.0,39.0,5.0,0.0,openml__anneal__2867,['tabzilla'],False,False,False
5,5.0,452.0,280.0,13.0,408.0,openml__arrhythmia__5,['tabzilla'],False,False,False
1459,14964.0,10218.0,8.0,10.0,0.0,openml__artificial-characters__14964,['tabzilla'],False,False,False
7,7.0,226.0,70.0,24.0,317.0,openml__audiology__7,['tabzilla'],False,False,False
9,9.0,205.0,26.0,6.0,59.0,openml__autos__9,['tabzilla'],False,False,False
11,11.0,625.0,5.0,3.0,0.0,openml__balance-scale__11,"['tabzilla', 'cc18']",True,True,True
1461,14965.0,45211.0,17.0,2.0,0.0,openml__bank-marketing__14965,"['tabzilla', 'cc18', 'amlb']",True,True,True
1558,9899.0,4521.0,17.0,2.0,0.0,openml__bank-marketing__9899,['tabzilla'],False,False,False
1462,10093.0,1372.0,5.0,2.0,0.0,openml__banknote-authentication__10093,"['tabzilla', 'cc18']",True,True,True
1464,10101.0,748.0,5.0,2.0,0.0,openml__blood-transfusion-service-center__145836,"['tabzilla', 'tabzilla', 'cc18', 'amlb']",True,True,True
13,145799.0,286.0,10.0,2.0,9.0,openml__breast-cancer__145799,['tabzilla'],False,False,False
15,15.0,699.0,10.0,2.0,16.0,openml__breast-w__15,"['tabzilla', 'cc18']",True,True,True
40664,146192.0,1728.0,22.0,4.0,0.0,openml__car-evaluation__146192,['tabzilla'],False,False,False
40975,146821.0,1728.0,7.0,4.0,0.0,openml__car__146821,"['tabzilla', 'cc18', 'amlb']",True,True,True
1466,9979.0,2126.0,36.0,10.0,0.0,openml__cardiotocography__9979,['tabzilla'],False,False,False
1118,3952.0,28056.0,7.0,18.0,0.0,openml__chess__3952,['tabzilla'],False,False,False
41142,168908.0,5418.0,1637.0,2.0,0.0,openml__christine__168908,"['tabzilla', 'amlb']",False,False,False
40701,167141.0,5000.0,21.0,2.0,0.0,openml__churn__167141,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
23380,14967.0,2796.0,35.0,6.0,68100.0,openml__cjs__14967,['tabzilla'],False,False,False
40994,146819.0,540.0,21.0,2.0,0.0,openml__climate-model-simulation-crashes__146819,"['tabzilla', 'cc18']",True,True,True
23,23.0,1473.0,10.0,3.0,0.0,openml__cmc__23,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
1468,9981.0,1080.0,857.0,9.0,0.0,openml__cnae-9__9981,"['tabzilla', 'cc18', 'amlb']",False,False,True
25,25.0,368.0,27.0,2.0,1927.0,openml__colic__25,['tabzilla'],False,False,False
27,27.0,368.0,23.0,2.0,1927.0,openml__colic__27,['tabzilla'],False,False,False
478,3567.0,500.0,22.0,15.0,0.0,openml__collins__3567,['tabzilla'],False,False,False
40668,146195.0,67557.0,43.0,3.0,0.0,openml__connect-4__146195,"['tabzilla', 'cc18', 'amlb']",True,True,True
1596,7593.0,581012.0,55.0,7.0,0.0,openml__covertype__7593,"['tabzilla', 'amlb']",False,False,False
29,29.0,690.0,16.0,2.0,67.0,openml__credit-approval__29,"['tabzilla', 'cc18']",True,True,True
31,31.0,1000.0,21.0,2.0,0.0,openml__credit-g__31,"['tabzilla', 'cc18', 'amlb']",True,True,True
6332,14954.0,540.0,40.0,2.0,999.0,openml__cylinder-bands__14954,"['tabzilla', 'cc18']",True,True,True
35,35.0,366.0,35.0,6.0,8.0,openml__dermatology__35,['tabzilla'],False,False,False
37,37.0,768.0,9.0,2.0,0.0,openml__diabetes__37,"['tabzilla', 'cc18']",True,True,True
41163,168909.0,10000.0,2001.0,5.0,0.0,openml__dilbert__168909,"['tabzilla', 'amlb']",False,False,False
40670,167140.0,3186.0,181.0,3.0,0.0,openml__dna__167140,"['tabzilla', 'cc18', 'amlb', 'amlb']",False,True,True
23381,125920.0,500.0,13.0,2.0,835.0,openml__dresses-sales__125920,"['tabzilla', 'cc18']",True,True,True
39,145977.0,336.0,8.0,8.0,0.0,openml__ecoli__145977,['tabzilla'],False,False,False
1471,14951.0,14980.0,15.0,2.0,0.0,openml__eeg-eye-state__14951,['tabzilla'],False,False,False
151,219.0,45312.0,9.0,2.0,0.0,openml__electricity__219,"['tabzilla', 'cc18']",True,True,True
846,3711.0,16599.0,19.0,2.0,0.0,openml__elevators__3711,['tabzilla'],False,False,False
188,2079.0,736.0,20.0,5.0,448.0,openml__eucalyptus__2079,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
1044,3897.0,10936.0,28.0,3.0,0.0,openml__eye_movements__3897,['tabzilla'],False,False,False
41164,168910.0,8237.0,801.0,7.0,0.0,openml__fabert__168910,"['tabzilla', 'amlb']",False,False,False
1473,9984.0,100.0,10.0,2.0,0.0,openml__fertility__9984,['tabzilla'],False,False,False
1475,9985.0,6118.0,52.0,6.0,0.0,openml__first-order-theorem-proving__9985,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
477,3566.0,67.0,16.0,5.0,0.0,openml__fl2000__3566,['tabzilla'],False,False,False
754,3620.0,100.0,6.0,2.0,0.0,openml__fri_c0_100_5__3620,['tabzilla'],False,False,False
916,3779.0,100.0,6.0,2.0,0.0,openml__fri_c3_100_5__3779,['tabzilla'],False,False,False
1477,9987.0,13910.0,130.0,6.0,0.0,openml__gas-drift-different-concentrations__9987,['tabzilla'],False,False,False
1476,9986.0,13910.0,129.0,6.0,0.0,openml__gas-drift__9986,['tabzilla'],False,False,False
1038,3891.0,3468.0,971.0,2.0,0.0,openml__gina_agnostic__3891,['tabzilla'],False,False,False
41,40.0,214.0,10.0,6.0,0.0,openml__glass__40,['tabzilla'],False,False,False
41159,168337.0,20000.0,4297.0,2.0,0.0,openml__guillermo__168337,"['tabzilla', 'amlb']",False,False,False
43,42.0,306.0,4.0,2.0,0.0,openml__haberman__42,['tabzilla'],False,False,False
1478,14970.0,10299.0,562.0,6.0,0.0,openml__har__14970,"['tabzilla', 'cc18']",False,False,True
329,146063.0,160.0,5.0,3.0,0.0,openml__hayes-roth__146063,['tabzilla'],False,False,False
49,48.0,303.0,14.0,2.0,7.0,openml__heart-c__48,['tabzilla'],False,False,False
51,50.0,294.0,14.0,2.0,782.0,openml__heart-h__50,['tabzilla'],False,False,False
55,54.0,155.0,20.0,2.0,167.0,openml__hepatitis__54,['tabzilla'],False,False,False
23512,146606.0,98050.0,29.0,2.0,9.0,openml__higgs__146606,['tabzilla'],False,False,False
1479,145847.0,1212.0,101.0,2.0,0.0,openml__hill-valley__145847,['tabzilla'],False,False,False
821,3686.0,22784.0,17.0,2.0,0.0,openml__house_16H__3686,['tabzilla'],False,False,False
1480,9971.0,583.0,11.0,2.0,0.0,openml__ilpd__9971,"['tabzilla', 'cc18']",True,True,True
59,145984.0,351.0,35.0,2.0,0.0,openml__ionosphere__145984,['tabzilla'],False,False,False
61,59.0,150.0,5.0,3.0,0.0,openml__iris__59,['tabzilla'],False,False,False
451,3543.0,500.0,6.0,2.0,32.0,openml__irish__3543,['tabzilla'],False,False,False
300,3481.0,7797.0,618.0,26.0,0.0,openml__isolet__3481,"['tabzilla', 'cc18']",False,False,True
41168,168330.0,83733.0,55.0,4.0,0.0,openml__jannis__168330,"['tabzilla', 'amlb']",False,False,False
41143,168911.0,2984.0,145.0,2.0,0.0,openml__jasmine__168911,"['tabzilla', 'amlb']",False,False,False
1053,3904.0,10885.0,22.0,2.0,25.0,openml__jm1__3904,"['tabzilla', 'cc18']",True,True,True
41027,167119.0,44819.0,7.0,3.0,0.0,openml__jungle_chess_2pcs_raw_endgame_complete__167119,"['tabzilla', 'cc18', 'amlb']",True,True,True
1067,3917.0,2109.0,22.0,2.0,0.0,openml__kc1__3917,"['tabzilla', 'cc18', 'amlb']",True,True,True
1063,3913.0,522.0,22.0,2.0,0.0,openml__kc2__3913,"['tabzilla', 'cc18']",True,True,True
3,3.0,3196.0,37.0,2.0,0.0,openml__kr-vs-kp__3,"['tabzilla', 'cc18', 'amlb']",True,True,True
184,2076.0,28056.0,7.0,18.0,0.0,openml__kropt__2076,['tabzilla'],False,False,False
4,4.0,57.0,17.0,2.0,326.0,openml__labor__4,['tabzilla'],False,False,False
1483,9974.0,164860.0,8.0,11.0,0.0,openml__ldpa__9974,['tabzilla'],False,False,False
6,6.0,20000.0,17.0,26.0,0.0,openml__letter__6,"['tabzilla', 'cc18']",False,False,True
42855,360948.0,360.0,105.0,,0.0,openml__libras__360948,['tabzilla'],False,False,False
163,146024.0,32.0,57.0,3.0,5.0,openml__lung-cancer__146024,['tabzilla'],False,False,False
10,10.0,148.0,19.0,4.0,0.0,openml__lymph__10,['tabzilla'],False,False,False
1485,9976.0,2600.0,501.0,2.0,0.0,openml__madelon__9976,"['tabzilla', 'cc18']",False,False,True
40679,146206.0,19020.0,11.0,2.0,0.0,openml__magic__146206,['tabzilla'],False,False,False
12,12.0,2000.0,217.0,10.0,0.0,openml__mfeat-factors__12,"['tabzilla', 'cc18', 'amlb']",False,True,True
14,14.0,2000.0,77.0,10.0,0.0,openml__mfeat-fourier__14,"['tabzilla', 'cc18']",True,True,True
16,16.0,2000.0,65.0,10.0,0.0,openml__mfeat-karhunen__16,"['tabzilla', 'cc18']",True,True,True
18,18.0,2000.0,7.0,10.0,0.0,openml__mfeat-morphological__18,"['tabzilla', 'cc18']",True,True,True
40979,146824.0,2000.0,241.0,10.0,0.0,openml__mfeat-pixel__146824,"['tabzilla', 'cc18']",False,True,True
22,22.0,2000.0,48.0,10.0,0.0,openml__mfeat-zernike__22,"['tabzilla', 'cc18']",True,True,True
554,3573.0,70000.0,785.0,10.0,0.0,openml__mnist_784__3573,"['tabzilla', 'cc18']",False,False,True
334,146065.0,601.0,7.0,2.0,0.0,openml__monks-problems-2__146065,['tabzilla'],False,False,False
24,24.0,8124.0,23.0,2.0,2480.0,openml__mushroom__24,['tabzilla'],False,False,False
1116,3950.0,6598.0,168.0,2.0,0.0,openml__musk__3950,['tabzilla'],False,False,False
1486,9977.0,34465.0,119.0,2.0,0.0,openml__nomao__9977,"['tabzilla', 'cc18', 'amlb']",False,True,True
23517,167120.0,96320.0,22.0,2.0,0.0,openml__numerai28.6__167120,"['tabzilla', 'cc18', 'amlb']",True,True,True
1568,9892.0,12958.0,9.0,4.0,0.0,openml__nursery__9892,['tabzilla'],False,False,False
1493,9956.0,1599.0,65.0,100.0,0.0,openml__one-hundred-plants-texture__9956,['tabzilla'],False,False,False
28,28.0,5620.0,65.0,10.0,0.0,openml__optdigits__28,"['tabzilla', 'cc18']",True,True,True
1487,9978.0,2534.0,73.0,2.0,0.0,openml__ozone-level-8hr__9978,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
30,30.0,5473.0,11.0,5.0,0.0,openml__page-blocks__30,['tabzilla'],False,False,False
1068,3918.0,1109.0,22.0,2.0,0.0,openml__pc1__3918,"['tabzilla', 'cc18']",True,True,True
1050,3903.0,1563.0,38.0,2.0,0.0,openml__pc3__3903,"['tabzilla', 'cc18']",True,True,True
1049,3902.0,1458.0,38.0,2.0,0.0,openml__pc4__3902,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
32,32.0,10992.0,17.0,10.0,0.0,openml__pendigits__32,"['tabzilla', 'cc18']",True,True,True
41145,190410.0,5832.0,309.0,2.0,0.0,openml__philippine__190410,"['tabzilla', 'amlb', 'amlb']",False,False,False
1489,9952.0,5404.0,6.0,2.0,0.0,openml__phoneme__9952,"['tabzilla', 'cc18', 'amlb']",True,True,True
1567,9890.0,1025009.0,11.0,10.0,0.0,openml__poker-hand__9890,['tabzilla'],False,False,False
871,3735.0,3848.0,6.0,2.0,0.0,openml__pollen__3735,['tabzilla'],False,False,False
40683,146210.0,88.0,9.0,2.0,0.0,openml__postoperative-patient-data__146210,['tabzilla'],False,False,False
171,146032.0,339.0,18.0,21.0,225.0,openml__primary-tumor__146032,['tabzilla'],False,False,False
470,3561.0,672.0,10.0,2.0,1200.0,openml__profb__3561,['tabzilla'],False,False,False
1494,9957.0,1055.0,42.0,2.0,0.0,openml__qsar-biodeg__9957,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
782,3647.0,120.0,3.0,2.0,0.0,openml__rabe_266__3647,['tabzilla'],False,False,False
41161,168338.0,20000.0,4297.0,2.0,0.0,openml__riccardo__168338,"['tabzilla', 'amlb']",False,False,False
41165,168332.0,10000.0,7201.0,10.0,0.0,openml__robert__168332,"['tabzilla', 'amlb']",False,False,False
182,2074.0,6430.0,37.0,6.0,0.0,openml__satimage__2074,"['tabzilla', 'cc18']",True,True,True
312,3485.0,2407.0,300.0,2.0,0.0,openml__scene__3485,['tabzilla'],False,False,False
40984,146822.0,2310.0,20.0,7.0,0.0,openml__segment__146822,"['tabzilla', 'cc18', 'amlb']",True,True,True
1501,9964.0,1593.0,257.0,10.0,0.0,openml__semeion__9964,"['tabzilla', 'cc18']",False,True,True
40685,146212.0,58000.0,10.0,7.0,0.0,openml__shuttle__146212,"['tabzilla', 'amlb']",False,False,False
38,3021.0,3772.0,30.0,2.0,6064.0,openml__sick__3021,"['tabzilla', 'cc18']",True,True,True
1502,9965.0,245057.0,4.0,2.0,0.0,openml__skin-segmentation__9965,['tabzilla'],False,False,False
934,3797.0,1156.0,6.0,2.0,0.0,openml__socmob__3797,['tabzilla'],False,False,False
